,Entity,Currency,AlphabeticCode,NumericCode,MinorUnit,WithdrawalDate
0,AFGHANISTAN,Afghani,AFN,971,2,
1,ÅLAND ISLANDS,Euro,EUR,978,2,
2,ALBANIA,Lek,ALL,8,2,
3,ALGERIA,Algerian Dinar,DZD,12,2,
4,AMERICAN SAMOA,US Dollar,USD,840,2,
5,ANDORRA,Euro,EUR,978,2,
6,ANGOLA,Kwanza,AOA,973,2,
7,ANGUILLA,East Caribbean Dollar,XCD,951,2,
8,ANTARCTICA,No universal currency,,0,0,
9,ANTIGUA AND BARBUDA,East Caribbean Dollar,XCD,951,2,
10,ARGENTINA,Argentine Peso,ARS,32,2,
11,ARMENIA,Armenian Dram,AMD,51,2,
12,ARUBA,Aruban Florin,AWG,533,2,
13,AUSTRALIA,Australian Dollar,AUD,36,2,
14,AUSTRIA,Euro,EUR,978,2,
15,AZERBAIJAN,Azerbaijan Manat,AZN,944,2,
16,BAHAMAS (THE),Bahamian Dollar,BSD,44,2,
17,BAHRAIN,Bahraini Dinar,BHD,48,3,
18,BANGLADESH,Taka,BDT,50,2,
19,BARBADOS,Barbados Dollar,BBD,52,2,
20,BELARUS,Belarusian Ruble,BYN,933,2,
21,BELGIUM,Euro,EUR,978,2,
22,BELIZE,Belize Dollar,BZD,84,2,
23,BENIN,CFA Franc BCEAO,XOF,952,0,
24,BERMUDA,Bermudian Dollar,BMD,60,2,
25,BHUTAN,Indian Rupee,INR,356,2,
26,BHUTAN,Ngultrum,BTN,64,2,
27,BOLIVIA (PLURINATIONAL STATE OF),Boliviano,BOB,68,2,
28,BOLIVIA (PLURINATIONAL STATE OF),Mvdol,BOV,984,2,
29,"BONAIRE, SINT EUSTATIUS AND SABA",US Dollar,USD,840,2,
30,BOSNIA AND HERZEGOVINA,Convertible Mark,BAM,977,2,
31,BOTSWANA,Pula,BWP,72,2,
32,BOUVET ISLAND,Norwegian Krone,NOK,578,2,
33,BRAZIL,Brazilian Real,BRL,986,2,
34,BRITISH INDIAN OCEAN TERRITORY (THE),US Dollar,USD,840,2,
35,BRUNEI DARUSSALAM,Brunei Dollar,BND,96,2,
36,BULGARIA,Bulgarian Lev,BGN,975,2,
37,BURKINA FASO,CFA Franc BCEAO,XOF,952,0,
38,BURUNDI,Burundi Franc,BIF,108,0,
39,CABO VERDE,Cabo Verde Escudo,CVE,132,2,
40,CAMBODIA,Riel,KHR,116,2,
41,CAMEROON,CFA Franc BEAC,XAF,950,0,
42,CANADA,Canadian Dollar,CAD,124,2,
43,CAYMAN ISLANDS (THE),Cayman Islands Dollar,KYD,136,2,
44,CENTRAL AFRICAN REPUBLIC (THE),CFA Franc BEAC,XAF,950,0,
45,CHAD,CFA Franc BEAC,XAF,950,0,
46,CHILE,Chilean Peso,CLP,152,0,
47,CHILE,Unidad de Fomento,CLF,990,4,
48,CHINA,Yuan Renminbi,CNY,156,2,
49,CHRISTMAS ISLAND,Australian Dollar,AUD,36,2,
50,COCOS (KEELING) ISLANDS (THE),Australian Dollar,AUD,36,2,
51,COLOMBIA,Colombian Peso,COP,170,2,
52,COLOMBIA,Unidad de Valor Real,COU,970,2,
